id,parent_id/id,sign,name,code
0,,1.0,План податків для України,0
1,0,1.0,ПДВ,1
10,1,1.0,Податкові зобов’язання з ПДВ,10
1000,10,1.0,"Продаж з ПДВ, ставка 20%",1000
1001,10,,"Продаж з ПДВ, ставка 20% (база)",1001
1002,10,1.0,"Продаж з ПДВ, ставка 7%",1002
1003,10,,"Продаж з ПДВ, ставка 7% (база)",1003
1004,10,,"Продаж з ПДВ, ставка 0% (база)",1004
1005,10,,"Продаж, звільнено від ПДВ (база)",1005
1006,10,,"Продаж, не є об’єктом ПДВ (база)",1006
11,1,-1.0,Податковий кредит з ПДВ,11
1100,11,1.0,"Придбання з ПДВ, ставка 20%",1100
1101,11,,"Придбання з ПДВ, ставка 20% (база)",1101
1102,11,1.0,"Придбання з ПДВ, ставка 7%",1102
1103,11,,"Придбання з ПДВ, ставка 7% (база)",1103
1104,11,,"Придбання з ПДВ, ставка 0% (база)",1104
1105,11,,"Придбання, звільнено від ПДВ (база)",1105
1106,11,,"Придбання, не є об’єктом ПДВ (база)",1106
